,UMAP_1,UMAP_2,cluster
826,-3.758225,1.4190153,2
827,1.106768,4.338777,2
828,-1.2528054,6.2945747,2
829,2.433727,-4.5137506,3
830,-4.356579,3.8275175,2
831,12.563389,8.251497,1
832,1.0704856,-6.200728,3
833,12.336494,8.5483,1
834,1.0567752,-3.1987529,3
835,12.569464,8.279317,1
836,1.9135115,-5.215044,3
837,2.3896966,-4.6818986,3
838,0.7406289,1.4248642,5
839,-0.955987,3.9952886,2
840,1.8183569,-4.2722745,3
841,-3.6705558,5.0093484,2
842,-0.43115526,0.6326382,6
843,-5.166024,5.0237164,2
844,-1.0650058,6.6036325,2
845,-0.49671805,-4.8350544,4
846,-2.4022648,6.0720735,2
847,-3.615751,5.973851,2
848,12.132633,7.7854853,1
849,2.755234,-7.1023064,3
850,-0.15828146,-5.2333384,4
851,-2.9909701,3.3826206,2
852,-0.4890919,-5.362222,4
